date,country,state_region,township,site,population_group,sector,subsector,partner,delivery_channel,urgency,severity,people_in_need,people_reached,funding_required_usd,funding_received_usd,incidents_reported,access_constraint,latitude,longitude
2025-06-15,Myanmar,Sagaing,Kale,Kale Site 1,Returnees,Protection,Child Protection,Community Network,Camp Distribution,Low,2,916,764,21817.92,10558.64,1,Security Incident,23.0749,94.1271
2025-02-01,Thailand,Tak,Mae Sot,Mae Sot Site 3,Host Community,Food Security,Nutrition Support,UN Agency A,School-Based,Medium,2,2613,1635,123055.19,79721.14,3,Road Closure,16.6079,98.6527
2026-02-02,Thailand,Kanchanaburi,Sai Yok,Sai Yok Site 2,Refugees,Education,Temporary Learning,UN Agency A,School-Based,Medium,3,804,494,20705.59,11496.44,1,Administrative Delay,14.5408,98.8219
2025-08-04,Myanmar,Rakhine,Buthidaung,Buthidaung Site 3,Returnees,Education,School Supplies,Community Network,Cash Transfer,High,3,440,183,22426.86,16557.24,4,Administrative Delay,20.8842,92.6234
2026-02-25,Thailand,Chiang Mai,Chiang Dao,Chiang Dao Site 1,Host Community,WASH,Clean Water,Community Network,Mobile Team,Medium,3,524,320,13529.27,7995.62,3,None,19.3393,99.0072
2025-03-12,Thailand,Chiang Mai,Chiang Dao,Chiang Dao Site 4,Refugees,Food Security,Food Basket,INGO Bridge,Camp Distribution,Medium,2,1795,1067,63462.08,43776.44,2,Administrative Delay,19.3464,98.9328
2025-12-20,Myanmar,Sagaing,Kale,Kale Site 4,Host Community,Health,Maternal Health,Border Aid Alliance,Cash Transfer,Low,1,1638,1053,73118.4,49133.46,2,Administrative Delay,23.2548,94.0242
2025-11-11,Myanmar,Rakhine,Sittwe,Sittwe Site 3,Returnees,Protection,GBV Support,Medical Relief Hub,Mobile Team,Low,2,648,527,34212.14,21799.06,1,Security Incident,20.1736,92.8141
2025-09-22,Myanmar,Shan,Kengtung,Kengtung Site 1,Conflict-Affected Villages,WASH,Sanitation Repair,UN Agency A,Door-to-Door,High,4,566,262,16121.35,13492.07,3,Administrative Delay,21.2668,99.6623
2025-04-10,Myanmar,Sagaing,Kale,Kale Site 4,Returnees,Education,Temporary Learning,UN Agency A,Clinic Outreach,Medium,3,1188,655,34050.16,15936.28,1,None,23.2561,93.978
2025-11-16,Myanmar,Sagaing,Kale,Kale Site 6,IDPs,Shelter,Camp Repair,INGO Bridge,Cash Transfer,Critical,5,438,133,11154.21,8334.93,6,Administrative Delay,23.1459,94.0844
2026-02-17,Myanmar,Sagaing,Kale,Kale Site 5,Refugees,Health,Primary Care,Border Aid Alliance,Door-to-Door,Low,1,1486,1111,80084.92,43693.82,1,Road Closure,23.2883,93.9674
2026-03-04,Myanmar,Rakhine,Buthidaung,Buthidaung Site 5,Conflict-Affected Villages,Shelter,Camp Repair,INGO Bridge,School-Based,Medium,3,1032,551,48604.89,20521.08,1,None,20.8316,92.5233
2025-12-16,Thailand,Tak,Phop Phra,Phop Phra Site 1,IDPs,Protection,GBV Support,Community Network,Mobile Team,High,4,605,301,24482.96,22399.48,2,Security Incident,16.3936,98.6426
2025-05-13,Myanmar,Sagaing,Monywa,Monywa Site 3,IDPs,Education,Temporary Learning,Medical Relief Hub,Mobile Team,Medium,2,1306,931,36986.74,34083.37,4,None,22.0967,95.1075
2025-09-07,Myanmar,Shan,Taunggyi,Taunggyi Site 4,Returnees,Shelter,Emergency Shelter,Local CSO One,Clinic Outreach,Low,2,937,659,44343.12,29149.28,1,None,20.8328,97.1519
2026-02-08,Myanmar,Rakhine,Sittwe,Sittwe Site 2,Returnees,Food Security,Cash Assistance,Border Aid Alliance,Clinic Outreach,Medium,3,2699,1608,57767.95,52742.71,2,Security Incident,20.0899,92.7879
2026-02-15,Thailand,Tak,Phop Phra,Phop Phra Site 1,Host Community,Health,Maternal Health,Community Network,Cash Transfer,Critical,4,2225,727,58993.34,42646.21,4,Security Incident,16.5855,98.6127
2025-09-29,Myanmar,Kachin,Bhamo,Bhamo Site 3,IDPs,WASH,Clean Water,UN Agency A,Mobile Team,High,3,2111,1015,87110.57,74110.92,5,None,24.25,97.156
2025-09-17,Thailand,Mae Hong Son,Mae Hong Son,Mae Hong Son Site 6,Refugees,Shelter,NFIs,UN Agency A,Camp Distribution,Low,2,1579,1335,78185.03,40590.54,2,None,19.2639,98.0482
2025-05-31,Myanmar,Sagaing,Monywa,Monywa Site 3,Returnees,WASH,Sanitation Repair,Local CSO One,Camp Distribution,Low,2,1880,1393,78264.23,36830.21,1,Road Closure,22.0345,95.1203
2025-01-03,Myanmar,Kachin,Myitkyina,Myitkyina Site 4,IDPs,WASH,Hygiene Kits,Border Aid Alliance,Camp Distribution,Low,1,1864,1464,37388.18,31823.84,2,Weather,25.2978,97.4208
2025-11-18,Thailand,Mae Hong Son,Khun Yuam,Khun Yuam Site 1,Conflict-Affected Villages,Education,Teacher Support,Border Aid Alliance,Door-to-Door,Medium,2,1196,719,24382.46,8809.49,1,Road Closure,18.8855,97.9502
2025-05-06,Thailand,Chiang Mai,Fang,Fang Site 5,Conflict-Affected Villages,Health,Vaccination,Community Network,Mobile Team,High,3,1267,565,61508.82,38517.07,6,Weather,19.9064,99.1135
2025-02-09,Thailand,Chiang Mai,Fang,Fang Site 1,Conflict-Affected Villages,Food Security,Cash Assistance,Local CSO One,Door-to-Door,High,3,2262,1182,114304.97,86348.79,4,None,19.9448,99.251
2025-09-22,Thailand,Kanchanaburi,Thong Pha Phum,Thong Pha Phum Site 5,Refugees,WASH,Clean Water,Medical Relief Hub,Mobile Team,Medium,3,1695,931,76833.0,33425.77,5,Road Closure,14.7353,98.5413
2025-07-04,Myanmar,Kachin,Myitkyina,Myitkyina Site 4,Host Community,Health,Primary Care,UN Agency A,Cash Transfer,High,3,996,549,18009.52,14415.55,5,Weather,25.4321,97.3355
2025-03-03,Myanmar,Rakhine,Buthidaung,Buthidaung Site 4,Host Community,Protection,Child Protection,Local CSO One,Cash Transfer,High,3,801,455,23804.33,12126.8,3,Road Closure,20.8163,92.5026
2025-04-08,Thailand,Kanchanaburi,Sangkhla Buri,Sangkhla Buri Site 5,Conflict-Affected Villages,Food Security,Nutrition Support,UN Agency A,Mobile Team,Critical,5,417,151,10852.78,5599.46,6,Weather,15.2302,98.485
2026-01-14,Thailand,Kanchanaburi,Sai Yok,Sai Yok Site 6,Host Community,Health,Primary Care,Border Aid Alliance,Camp Distribution,Low,2,1659,1083,44864.56,18144.52,0,None,14.3765,98.8511
2025-02-16,Thailand,Mae Hong Son,Pai,Pai Site 1,Host Community,Shelter,NFIs,Border Aid Alliance,School-Based,Medium,3,842,447,35077.38,25528.48,5,Weather,19.3003,98.4574
2025-04-21,Myanmar,Kachin,Myitkyina,Myitkyina Site 4,Returnees,Health,Primary Care,UN Agency A,Cash Transfer,High,3,454,249,26425.86,24664.44,6,None,25.3556,97.435
2025-02-25,Myanmar,Shan,Taunggyi,Taunggyi Site 6,Host Community,Health,Vaccination,UN Agency A,Mobile Team,High,4,839,404,45222.66,18526.23,2,None,20.7887,97.077
2025-10-26,Myanmar,Sagaing,Shwebo,Shwebo Site 1,Conflict-Affected Villages,WASH,Hygiene Kits,Local CSO One,Clinic Outreach,High,3,1896,984,39056.67,18218.73,4,Weather,22.5004,95.7243
2025-11-28,Thailand,Tak,Tha Song Yang,Tha Song Yang Site 3,Refugees,Shelter,Emergency Shelter,Border Aid Alliance,Clinic Outreach,High,3,1167,576,32262.03,30065.48,1,None,17.3514,98.0318
2026-02-24,Myanmar,Shan,Lashio,Lashio Site 3,IDPs,Protection,GBV Support,Community Network,Camp Distribution,Critical,4,772,229,35525.88,18336.82,5,Security Incident,22.8664,97.8125
2025-04-05,Thailand,Kanchanaburi,Sai Yok,Sai Yok Site 1,Refugees,WASH,Clean Water,INGO Bridge,Door-to-Door,Critical,5,2154,753,49802.65,18989.59,2,Administrative Delay,14.5313,98.911
2025-03-05,Myanmar,Sagaing,Shwebo,Shwebo Site 4,IDPs,Health,Vaccination,Medical Relief Hub,Camp Distribution,Medium,2,1162,744,34460.98,24992.65,0,None,22.6312,95.6541
2025-07-12,Myanmar,Sagaing,Monywa,Monywa Site 2,IDPs,Protection,GBV Support,Local CSO One,Clinic Outreach,Medium,3,585,370,32681.58,29998.18,4,None,22.1895,95.0282
2026-02-27,Myanmar,Rakhine,Maungdaw,Maungdaw Site 4,Returnees,Shelter,NFIs,INGO Bridge,Cash Transfer,Medium,2,1250,841,57498.37,37783.95,0,None,20.8684,92.3585
2025-03-23,Myanmar,Sagaing,Monywa,Monywa Site 5,Returnees,Food Security,Cash Assistance,UN Agency A,Mobile Team,Medium,2,809,485,23466.85,14082.56,2,Security Incident,22.1526,95.1289
2025-12-12,Myanmar,Rakhine,Maungdaw,Maungdaw Site 3,Returnees,Education,School Supplies,INGO Bridge,Cash Transfer,Medium,2,1209,694,44267.86,41853.9,0,Road Closure,20.7672,92.3828
2025-04-29,Myanmar,Sagaing,Monywa,Monywa Site 2,Host Community,WASH,Clean Water,Local CSO One,Camp Distribution,Low,1,1094,848,59540.86,44587.37,0,None,22.0213,95.1272
2025-11-23,Thailand,Mae Hong Son,Mae Hong Son,Mae Hong Son Site 2,Returnees,Health,Vaccination,Border Aid Alliance,Door-to-Door,Critical,5,1344,429,74428.32,42365.93,7,Road Closure,19.2702,97.8824
2026-02-12,Thailand,Mae Hong Son,Khun Yuam,Khun Yuam Site 4,Returnees,Shelter,NFIs,Border Aid Alliance,Clinic Outreach,Medium,3,394,283,13828.5,6476.18,3,Security Incident,18.833,97.9705
2025-04-15,Myanmar,Sagaing,Monywa,Monywa Site 4,Conflict-Affected Villages,WASH,Hygiene Kits,INGO Bridge,Camp Distribution,Low,1,1375,973,35207.28,15951.4,0,None,22.0984,95.2102
2025-07-16,Thailand,Mae Hong Son,Pai,Pai Site 4,Returnees,Health,Vaccination,Border Aid Alliance,Cash Transfer,Low,1,1327,893,48817.73,32255.61,0,None,19.2687,98.547
2025-03-05,Myanmar,Shan,Kengtung,Kengtung Site 5,IDPs,Education,School Supplies,UN Agency A,Cash Transfer,High,4,487,235,18799.45,6843.47,4,Security Incident,21.3758,99.5429
2025-09-08,Thailand,Mae Hong Son,Pai,Pai Site 4,Refugees,Shelter,NFIs,UN Agency A,Mobile Team,Low,2,488,305,11771.89,10633.26,0,None,19.4216,98.5079
2026-01-04,Myanmar,Rakhine,Buthidaung,Buthidaung Site 2,IDPs,Health,Vaccination,Border Aid Alliance,Door-to-Door,High,4,2100,912,115613.26,105017.31,3,None,20.9615,92.57
2025-06-29,Thailand,Mae Hong Son,Pai,Pai Site 4,Refugees,WASH,Sanitation Repair,Medical Relief Hub,Camp Distribution,High,4,1557,804,48384.26,26451.41,5,None,19.4535,98.3867
2026-02-10,Thailand,Tak,Phop Phra,Phop Phra Site 4,Conflict-Affected Villages,Protection,Legal Aid,Border Aid Alliance,Mobile Team,Medium,3,1020,593,55016.8,33855.63,1,None,16.3917,98.8027
2026-01-16,Myanmar,Kachin,Putao,Putao Site 5,Returnees,Education,Temporary Learning,Border Aid Alliance,Mobile Team,Medium,3,1032,570,50254.37,18261.12,1,None,27.2742,97.4501
2025-07-01,Thailand,Tak,Phop Phra,Phop Phra Site 5,Returnees,Protection,Child Protection,INGO Bridge,Clinic Outreach,High,3,868,374,19532.45,14315.84,3,Weather,16.4657,98.6505
2026-02-05,Thailand,Kanchanaburi,Thong Pha Phum,Thong Pha Phum Site 5,Returnees,Protection,Legal Aid,Community Network,Cash Transfer,High,3,990,471,28878.73,11119.11,4,Security Incident,14.8555,98.5264
2025-01-07,Myanmar,Shan,Lashio,Lashio Site 5,Host Community,Protection,Child Protection,Community Network,Clinic Outreach,Low,1,926,684,48950.66,30422.46,0,None,22.8612,97.7759
2025-02-23,Thailand,Mae Hong Son,Khun Yuam,Khun Yuam Site 6,Returnees,Education,Temporary Learning,Local CSO One,Door-to-Door,High,4,1222,532,73956.68,63235.46,4,None,18.7141,97.8943
2025-03-23,Thailand,Mae Hong Son,Pai,Pai Site 6,Conflict-Affected Villages,Shelter,NFIs,Community Network,Door-to-Door,Low,1,1085,836,48352.61,21900.23,0,None,19.3172,98.3781
2025-02-27,Myanmar,Shan,Lashio,Lashio Site 1,IDPs,Food Security,Nutrition Support,Border Aid Alliance,Door-to-Door,Low,1,2290,1733,112703.91,98934.73,4,Security Incident,23.0479,97.7982
2025-12-31,Thailand,Tak,Mae Sot,Mae Sot Site 1,IDPs,Education,Teacher Support,Local CSO One,Cash Transfer,Low,1,773,547,47705.37,18082.47,1,Security Incident,16.6461,98.4736
2025-06-14,Thailand,Chiang Mai,Chiang Dao,Chiang Dao Site 1,Host Community,Protection,Child Protection,Local CSO One,Cash Transfer,High,4,425,193,22641.61,8657.67,4,None,19.4257,99.0361
2025-02-18,Thailand,Mae Hong Son,Pai,Pai Site 5,Returnees,Protection,Child Protection,Local CSO One,Camp Distribution,Critical,4,1087,386,70201.09,40330.66,5,Weather,19.3805,98.5504
2025-07-02,Myanmar,Sagaing,Shwebo,Shwebo Site 4,IDPs,WASH,Clean Water,Local CSO One,Clinic Outreach,Medium,3,1859,1213,86353.15,31979.2,3,Road Closure,22.6607,95.7589
2025-09-25,Myanmar,Sagaing,Kale,Kale Site 4,Host Community,Education,School Supplies,Community Network,Camp Distribution,Low,2,743,623,18772.59,8327.36,3,None,23.1962,94.0076
2025-06-17,Thailand,Mae Hong Son,Mae Hong Son,Mae Hong Son Site 6,IDPs,Food Security,Nutrition Support,UN Agency A,Camp Distribution,Medium,3,1754,1229,54720.95,48217.3,2,Road Closure,19.2604,97.8939
2025-01-07,Thailand,Kanchanaburi,Sai Yok,Sai Yok Site 3,Host Community,Health,Primary Care,Local CSO One,School-Based,High,4,1553,806,92011.41,67629.8,2,Road Closure,14.3726,98.9705
2025-04-28,Myanmar,Rakhine,Maungdaw,Maungdaw Site 6,IDPs,Shelter,Emergency Shelter,Medical Relief Hub,Door-to-Door,High,4,531,253,26410.09,23983.49,4,None,20.8005,92.3091
2025-12-02,Thailand,Tak,Tha Song Yang,Tha Song Yang Site 1,IDPs,WASH,Sanitation Repair,INGO Bridge,Camp Distribution,High,3,646,319,31037.25,26300.69,3,Road Closure,17.4963,98.148
2025-07-30,Thailand,Mae Hong Son,Khun Yuam,Khun Yuam Site 1,Conflict-Affected Villages,WASH,Sanitation Repair,UN Agency A,Clinic Outreach,Medium,2,953,624,32926.03,16762.46,2,None,18.7489,97.9371
2026-01-15,Thailand,Mae Hong Son,Pai,Pai Site 1,Refugees,Shelter,Camp Repair,Community Network,Door-to-Door,Medium,3,1591,1025,86952.6,54922.82,1,Security Incident,19.3492,98.3602
2025-04-28,Thailand,Kanchanaburi,Sai Yok,Sai Yok Site 2,Host Community,Health,Vaccination,Local CSO One,Clinic Outreach,Medium,3,661,427,23157.66,21009.46,2,Weather,14.3801,98.8374
2025-01-30,Myanmar,Kachin,Myitkyina,Myitkyina Site 5,IDPs,Education,Temporary Learning,INGO Bridge,Mobile Team,High,3,1035,561,28774.47,17019.83,5,Road Closure,25.3907,97.3628
2025-11-09,Myanmar,Kachin,Myitkyina,Myitkyina Site 1,Host Community,Education,Temporary Learning,Community Network,Mobile Team,Medium,2,560,391,28515.1,14198.81,1,None,25.382,97.3311
